scene=hcm0034 train_views=240 sparse_points=181413 factor=2

Loading train images:   0%|          | 0/240 [00:00<?, ?it/s]
Loading train images:   2%|▎         | 6/240 [00:00<00:04, 57.49it/s]
Loading train images:   5%|▌         | 13/240 [00:00<00:03, 60.72it/s]
Loading train images:   8%|▊         | 20/240 [00:00<00:03, 61.84it/s]
Loading train images:  11%|█▏        | 27/240 [00:00<00:03, 62.09it/s]
Loading train images:  14%|█▍        | 34/240 [00:00<00:03, 62.30it/s]
Loading train images:  17%|█▋        | 41/240 [00:00<00:03, 59.71it/s]
Loading train images:  20%|█▉        | 47/240 [00:00<00:03, 58.41it/s]
Loading train images:  22%|██▏       | 53/240 [00:00<00:03, 57.51it/s]
Loading train images:  25%|██▍       | 59/240 [00:01<00:03, 56.98it/s]
Loading train images:  27%|██▋       | 65/240 [00:01<00:03, 56.57it/s]
Loading train images:  30%|██▉       | 71/240 [00:01<00:03, 56.20it/s]
Loading train images:  32%|███▏      | 77/240 [00:01<00:02, 55.97it/s]
Loading train images:  35%|███▍      | 83/240 [00:01<00:02, 55.86it/s]
Loading train images:  37%|███▋      | 89/240 [00:01<00:02, 55.91it/s]
Loading train images:  40%|███▉      | 95/240 [00:01<00:02, 55.76it/s]
Loading train images:  42%|████▏     | 101/240 [00:01<00:02, 55.73it/s]
Loading train images:  45%|████▍     | 107/240 [00:01<00:02, 55.60it/s]
Loading train images:  47%|████▋     | 113/240 [00:01<00:02, 55.55it/s]
Loading train images:  50%|████▉     | 119/240 [00:02<00:02, 55.50it/s]
Loading train images:  52%|█████▏    | 125/240 [00:02<00:02, 55.42it/s]
Loading train images:  55%|█████▍    | 131/240 [00:02<00:01, 55.50it/s]
Loading train images:  57%|█████▋    | 137/240 [00:02<00:01, 55.64it/s]
Loading train images:  60%|█████▉    | 143/240 [00:02<00:01, 55.65it/s]
Loading train images:  62%|██████▏   | 149/240 [00:02<00:01, 55.36it/s]
Loading train images:  65%|██████▍   | 155/240 [00:02<00:01, 53.85it/s]
Loading train images:  67%|██████▋   | 161/240 [00:02<00:01, 54.43it/s]
Loading train images:  70%|██████▉   | 167/240 [00:02<00:01, 54.83it/s]
Loading train images:  72%|███████▏  | 173/240 [00:03<00:01, 55.21it/s]
Loading train images:  75%|███████▍  | 179/240 [00:03<00:01, 55.50it/s]
Loading train images:  77%|███████▋  | 185/240 [00:03<00:00, 55.29it/s]
Loading train images:  80%|███████▉  | 191/240 [00:03<00:00, 55.36it/s]
Loading train images:  82%|████████▏ | 197/240 [00:03<00:00, 55.47it/s]
Loading train images:  85%|████████▍ | 203/240 [00:03<00:00, 55.39it/s]
Loading train images:  87%|████████▋ | 209/240 [00:03<00:00, 55.52it/s]
Loading train images:  90%|████████▉ | 215/240 [00:03<00:00, 55.59it/s]
Loading train images:  92%|█████████▏| 221/240 [00:03<00:00, 55.79it/s]
Loading train images:  95%|█████████▍| 227/240 [00:04<00:00, 55.95it/s]
Loading train images:  97%|█████████▋| 233/240 [00:04<00:00, 56.11it/s]
Loading train images: 100%|█████████▉| 239/240 [00:04<00:00, 56.20it/s]
Loading train images: 100%|██████████| 240/240 [00:04<00:00, 56.30it/s]

Loading train masks:   0%|          | 0/240 [00:00<?, ?it/s]
Loading train masks: 100%|██████████| 240/240 [00:00<00:00, 30433.02it/s]

Training 3DGS:   0%|          | 0/30000 [00:00<?, ?it/s]
Training 3DGS:   0%|          | 0/30000 [00:00<?, ?it/s, loss=0.3176, n=181413]
Training 3DGS:   0%|          | 1/30000 [00:00<1:56:47,  4.28it/s, loss=0.3176, n=181413]
Training 3DGS:   0%|          | 14/30000 [00:00<09:37, 51.96it/s, loss=0.3176, n=181413] 
Training 3DGS:   0%|          | 28/30000 [00:00<06:07, 81.48it/s, loss=0.3176, n=181413]
Training 3DGS:   0%|          | 42/30000 [00:00<05:00, 99.71it/s, loss=0.3176, n=181413]
Training 3DGS:   0%|          | 42/30000 [00:00<05:00, 99.71it/s, loss=0.2187, n=181413]
Training 3DGS:   0%|          | 56/30000 [00:00<04:27, 111.95it/s, loss=0.2187, n=181413]
Training 3DGS:   0%|          | 70/30000 [00:00<04:08, 120.37it/s, loss=0.2187, n=181413]
Training 3DGS:   0%|          | 85/30000 [00:00<03:55, 127.00it/s, loss=0.2187, n=181413]
Training 3DGS:   0%|          | 100/30000 [00:00<03:47, 131.36it/s, loss=0.2187, n=181413]
Training 3DGS:   0%|          | 100/30000 [00:00<03:47, 131.36it/s, loss=0.1690, n=181413]
Training 3DGS:   0%|          | 115/30000 [00:01<03:41, 134.64it/s, loss=0.1690, n=181413]
Training 3DGS:   0%|          | 130/30000 [00:01<03:38, 136.94it/s, loss=0.1690, n=181413]
Training 3DGS:   0%|          | 145/30000 [00:01<03:35, 138.68it/s, loss=0.1690, n=181413]
Training 3DGS:   0%|          | 145/30000 [00:01<03:35, 138.68it/s, loss=0.2060, n=181413]
Training 3DGS:   1%|          | 160/30000 [00:01<03:33, 139.99it/s, loss=0.2060, n=181413]
Training 3DGS:   1%|          | 175/30000 [00:01<03:31, 141.25it/s, loss=0.2060, n=181413]
Training 3DGS:   1%|          | 190/30000 [00:01<03:30, 141.73it/s, loss=0.2060, n=181413]
Training 3DGS:   1%|          | 190/30000 [00:01<03:30, 141.73it/s, loss=0.1254, n=181413]
Training 3DGS:   1%|          | 205/30000 [00:01<03:29, 142.27it/s, loss=0.1254, n=181413]
Training 3DGS:   1%|          | 220/30000 [00:01<03:28, 142.88it/s, loss=0.1254, n=181413]
Training 3DGS:   1%|          | 235/30000 [00:01<03:27, 143.61it/s, loss=0.1254, n=181413]
Training 3DGS:   1%|          | 250/30000 [00:02<03:27, 143.53it/s, loss=0.1254, n=181413]
Training 3DGS:   1%|          | 250/30000 [00:02<03:27, 143.53it/s, loss=0.1249, n=181413]
Training 3DGS:   1%|          | 265/30000 [00:02<03:27, 143.38it/s, loss=0.1249, n=181413]
Training 3DGS:   1%|          | 280/30000 [00:02<03:26, 143.65it/s, loss=0.1249, n=181413]
Training 3DGS:   1%|          | 295/30000 [00:02<03:27, 143.32it/s, loss=0.1249, n=181413]
Training 3DGS:   1%|          | 295/30000 [00:02<03:27, 143.32it/s, loss=0.1136, n=181413]
Training 3DGS:   1%|          | 310/30000 [00:02<03:27, 143.41it/s, loss=0.1136, n=181413]
Training 3DGS:   1%|          | 325/30000 [00:02<03:26, 143.80it/s, loss=0.1136, n=181413]
Training 3DGS:   1%|          | 340/30000 [00:02<03:27, 142.98it/s, loss=0.1136, n=181413]
Training 3DGS:   1%|          | 340/30000 [00:02<03:27, 142.98it/s, loss=0.1096, n=181413]
Training 3DGS:   1%|          | 355/30000 [00:02<03:26, 143.35it/s, loss=0.1096, n=181413]
Training 3DGS:   1%|          | 370/30000 [00:02<03:27, 142.98it/s, loss=0.1096, n=181413]
Training 3DGS:   1%|▏         | 385/30000 [00:02<03:26, 143.73it/s, loss=0.1096, n=181413]
Training 3DGS:   1%|▏         | 400/30000 [00:03<03:25, 143.78it/s, loss=0.1096, n=181413]
Training 3DGS:   1%|▏         | 400/30000 [00:03<03:25, 143.78it/s, loss=0.1054, n=181413]
Training 3DGS:   1%|▏         | 415/30000 [00:03<03:25, 144.10it/s, loss=0.1054, n=181413]
Training 3DGS:   1%|▏         | 430/30000 [00:03<03:24, 144.38it/s, loss=0.1054, n=181413]
Training 3DGS:   1%|▏         | 445/30000 [00:03<03:24, 144.69it/s, loss=0.1054, n=181413]
Training 3DGS:   1%|▏         | 445/30000 [00:03<03:24, 144.69it/s, loss=0.0935, n=181413]
Training 3DGS:   2%|▏         | 460/30000 [00:03<03:23, 144.86it/s, loss=0.0935, n=181413]
Training 3DGS:   2%|▏         | 475/30000 [00:03<03:24, 144.70it/s, loss=0.0935, n=181413]
Training 3DGS:   2%|▏         | 490/30000 [00:03<03:23, 144.89it/s, loss=0.0935, n=181413]
Training 3DGS:   2%|▏         | 490/30000 [00:03<03:23, 144.89it/s, loss=0.0995, n=181413]
Training 3DGS:   2%|▏         | 505/30000 [00:03<03:23, 144.86it/s, loss=0.0995, n=181413]
Training 3DGS:   2%|▏         | 520/30000 [00:03<03:23, 144.88it/s, loss=0.0995, n=181413]
Training 3DGS:   2%|▏         | 535/30000 [00:03<03:23, 144.79it/s, loss=0.0995, n=181413]
Training 3DGS:   2%|▏         | 550/30000 [00:04<03:23, 144.62it/s, loss=0.0995, n=181413]
Training 3DGS:   2%|▏         | 550/30000 [00:04<03:23, 144.62it/s, loss=0.1468, n=181413]
Training 3DGS:   2%|▏         | 565/30000 [00:04<03:23, 144.56it/s, loss=0.1468, n=181413]
Training 3DGS:   2%|▏         | 580/30000 [00:04<03:23, 144.79it/s, loss=0.1468, n=181413]
Training 3DGS:   2%|▏         | 595/30000 [00:04<03:22, 144.86it/s, loss=0.1468, n=181413]
Training 3DGS:   2%|▏         | 595/30000 [00:04<03:22, 144.86it/s, loss=0.1168, n=233501]
Training 3DGS:   2%|▏         | 610/30000 [00:04<04:12, 116.59it/s, loss=0.1168, n=233501]
Training 3DGS:   2%|▏         | 624/30000 [00:04<04:04, 120.09it/s, loss=0.1168, n=233501]
Training 3DGS:   2%|▏         | 638/30000 [00:04<03:58, 123.26it/s, loss=0.1168, n=233501]
Training 3DGS:   2%|▏         | 638/30000 [00:04<03:58, 123.26it/s, loss=0.1066, n=233501]
Training 3DGS:   2%|▏         | 652/30000 [00:04<03:53, 125.45it/s, loss=0.1066, n=233501]
Training 3DGS:   2%|▏         | 666/30000 [00:05<03:49, 127.92it/s, loss=0.1066, n=233501]
Training 3DGS:   2%|▏         | 680/30000 [00:05<03:46, 129.71it/s, loss=0.1066, n=233501]
Training 3DGS:   2%|▏         | 694/30000 [00:05<03:42, 131.73it/s, loss=0.1066, n=233501]
Training 3DGS:   2%|▏         | 694/30000 [00:05<03:42, 131.73it/s, loss=0.0833, n=307546]
Training 3DGS:   2%|▏         | 708/30000 [00:05<03:44, 130.43it/s, loss=0.0833, n=307546]
Training 3DGS:   2%|▏         | 722/30000 [00:05<03:45, 130.05it/s, loss=0.0833, n=307546]
Training 3DGS:   2%|▏         | 736/30000 [00:05<03:45, 129.57it/s, loss=0.0833, n=307546]
Training 3DGS:   2%|▎         | 750/30000 [00:05<03:46, 129.24it/s, loss=0.0833, n=307546]
Training 3DGS:   2%|▎         | 750/30000 [00:05<03:46, 129.24it/s, loss=0.1116, n=307546]
Training 3DGS:   3%|▎         | 763/30000 [00:05<03:47, 128.45it/s, loss=0.1116, n=307546]
Training 3DGS:   3%|▎         | 776/30000 [00:05<03:47, 128.54it/s, loss=0.1116, n=307546]
Training 3DGS:   3%|▎         | 789/30000 [00:05<03:47, 128.29it/s, loss=0.1116, n=307546]
Training 3DGS:   3%|▎         | 789/30000 [00:06<03:47, 128.29it/s, loss=0.1384, n=394995]
Training 3DGS:   3%|▎         | 802/30000 [00:06<03:51, 126.37it/s, loss=0.1384, n=394995]
Training 3DGS:   3%|▎         | 815/30000 [00:06<03:54, 124.46it/s, loss=0.1384, n=394995]
Training 3DGS:   3%|▎         | 828/30000 [00:06<03:58, 122.53it/s, loss=0.1384, n=394995]
Training 3DGS:   3%|▎         | 841/30000 [00:06<04:00, 121.42it/s, loss=0.1384, n=394995]
Training 3DGS:   3%|▎         | 841/30000 [00:06<04:00, 121.42it/s, loss=0.1015, n=394995]
Training 3DGS:   3%|▎         | 854/30000 [00:06<04:01, 120.74it/s, loss=0.1015, n=394995]
Training 3DGS:   3%|▎         | 867/30000 [00:06<04:02, 120.07it/s, loss=0.1015, n=394995]
Training 3DGS:   3%|▎         | 880/30000 [00:06<04:02, 120.33it/s, loss=0.1015, n=394995]
Training 3DGS:   3%|▎         | 893/30000 [00:06<04:03, 119.51it/s, loss=0.1015, n=394995]
Training 3DGS:   3%|▎         | 893/30000 [00:06<04:03, 119.51it/s, loss=0.0828, n=494917]
Training 3DGS:   3%|▎         | 905/30000 [00:06<04:09, 116.85it/s, loss=0.0828, n=494917]
Training 3DGS:   3%|▎         | 917/30000 [00:07<04:14, 114.47it/s, loss=0.0828, n=494917]
Training 3DGS:   3%|▎         | 929/30000 [00:07<04:17, 112.94it/s, loss=0.0828, n=494917]
Training 3DGS:   3%|▎         | 941/30000 [00:07<04:18, 112.27it/s, loss=0.0828, n=494917]
Training 3DGS:   3%|▎         | 941/30000 [00:07<04:18, 112.27it/s, loss=0.0770, n=494917]
Training 3DGS:   3%|▎         | 953/30000 [00:07<04:20, 111.69it/s, loss=0.0770, n=494917]
Training 3DGS:   3%|▎         | 965/30000 [00:07<04:21, 111.22it/s, loss=0.0770, n=494917]
Training 3DGS:   3%|▎         | 977/30000 [00:07<04:21, 111.14it/s, loss=0.0770, n=494917]
Training 3DGS:   3%|▎         | 989/30000 [00:07<04:21, 111.03it/s, loss=0.0770, n=494917]
Training 3DGS:   3%|▎         | 989/30000 [00:07<04:21, 111.03it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1001/30000 [00:07<04:24, 109.44it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1012/30000 [00:07<04:29, 107.37it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1023/30000 [00:08<04:31, 106.83it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1034/30000 [00:08<04:34, 105.66it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1045/30000 [00:08<04:35, 105.10it/s, loss=0.1304, n=604042]
Training 3DGS:   3%|▎         | 1045/30000 [00:08<04:35, 105.10it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1056/30000 [00:08<04:37, 104.12it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1067/30000 [00:08<04:39, 103.48it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1078/30000 [00:08<04:40, 103.07it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1089/30000 [00:08<04:43, 102.14it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1100/30000 [00:08<04:41, 102.73it/s, loss=0.0632, n=604042]
Training 3DGS:   4%|▎         | 1100/30000 [00:08<04:41, 102.73it/s, loss=0.0738, n=717418]
